# PLZ;Ort;Kanton
# Quelle: GeoNames Postal Codes (download.geonames.org/export/zip/CH.zip), Lizenz CC BY 4.0.
# Eine Zeile je PLZ; geladen von PlzVerzeichnis. Nicht von Hand editieren.
1341;L'Orient;VD
1342;Le Pont;VD
1343;Les Charbonnières;VD
1344;L'Abbaye;VD
1345;Le Séchey;VD
1346;Les Bioux;VD
1347;Le Solliat;VD
1348;Le Brassus;VD
1350;Orbe;VD
1352;Agiez;VD
1353;Bofflens;VD
1354;Montcherand;VD
1355;Sergey;VD
1356;Les Clées;VD
1357;Lignerolle;VD
1358;Valeyres-sous-Rances;VD
1372;Bavois;VD
1373;Chavornay;VD
1374;Corcelles-sur-Chavornay;VD
1375;Penthéréaz;VD
1376;Goumoens-la-Ville;VD
1377;Oulens-sous-Echallens;VD
1400;Cheseaux-Noréaz;VD
1401;Yverdon-les-Bains;VD
1404;Villars-Epeney;VD
1405;Pomy;VD
1406;Cronay;VD
1407;Donneloye;VD
1408;Prahins;VD
1409;Chanéaz;VD
1410;Prévondavaux;FR
1412;Valeyres-sous-Ursins;VD
1413;Orzens;VD
1415;Molondin;VD
1416;Pailly;VD
1417;Essertines-sur-Yverdon;VD
1418;Vuarrens;VD
1420;Fiez;VD
1421;Fontaines-sur-Grandson;VD
1422;Grandson;VD
1423;Vaugondry;VD
1424;Champagne;VD
1425;Onnens VD;VD
1426;Concise;VD
1427;Bonvillars;VD
1428;Provence;VD
1429;Giez;VD
1430;Orges;VD
1431;Novalles;VD
1432;Belmont-sur-Yverdon;VD
1433;Suchy;VD
1434;Ependes VD;VD
1435;Essert-Pittet;VD
1436;Chamblon;VD
1437;Suscévaz;VD
1438;Mathod;VD
1439;Rances;VD
1440;Montagny-Chamard;VD
1441;Valeyres-sous-Montagny;VD
1442;Montagny-près-Yverdon;VD
1443;Essert-sous-Champvent;VD
1445;Vuiteboeuf;VD
1446;Baulmes;VD
1450;Ste-Croix;VD
1452;Les Rasses;VD
1453;Mauborget;VD
1454;La Vraconnaz;VD
1462;Yvonand;VD
1463;Rovray;VD
1464;Chavannes-le-Chêne;VD
1468;Cheyres;FR
1470;Bollion;FR
1473;Font;FR
1474;Châbles FR;FR
1475;Forel FR;FR
1482;Cugy FR;FR
1483;Frasses;FR
1484;Granges-de-Vesin;FR
1485;Nuvilly;FR
1486;Vuissens;FR
1489;Murist;FR
1509;Vucherens;VD
1510;Syens;VD
1512;Chavannes-sur-Moudon;VD
1513;Hermenches;VD
1514;Bussy-sur-Moudon;VD
1515;Villars-le-Comte;VD
1521;Curtilles;VD
1522;Lucens;VD
1523;Granges-près-Marnand;VD
1524;Marnand;VD
1525;Seigneux;VD
1526;Forel-sur-Lucens;VD
1527;Villeneuve FR;FR
1528;Surpierre;FR
1529;Cheiry;FR
1530;Payerne;VD
1532;Fétigny;FR
1533;Ménières;FR
1534;Chapelle (Broye);FR
1535;Combremont-le-Grand;VD
1536;Combremont-le-Petit;VD
1537;Champtauroz;VD
1538;Treytorrens (Payerne);VD
1541;Bussy FR;FR
1542;Rueyres-les-Prés;FR
1543;Grandcour;VD
1544;Gletterens;FR
1545;Chevroux;VD
1551;Vers-chez-Perrin;VD
1552;Trey;VD
1553;Châtonnaye;FR
1554;Sédeilles;VD
1555;Villarzel;VD
1562;Corcelles-près-Payerne;VD
1563;Dompierre FR;FR
1564;Domdidier;FR
1565;Vallon;FR
1566;St-Aubin FR;FR
1567;Delley;FR
1568;Portalban;FR
1580;Avenches;VD
1583;Villarepos;FR
1584;Villars-le-Grand;VD
1585;Bellerive VD;VD
1586;Vallamand;VD
1587;Constantine;VD
1588;Cudrefin;VD
1589;Chabrey;VD
1595;Clavaleyres;BE
1607;Palézieux-Village;VD
1608;Chapelle (Glâne);FR
1609;Besencens;FR
1610;Vuibroye;VD
1611;Le Crêt-près-Semsales;FR
1612;Ecoteaux;VD
1613;Maracon;VD
1614;Granges (Veveyse);FR
1615;Bossonnens;FR
1616;Attalens;FR
1617;Tatroz;FR
1618;Châtel-St-Denis;FR
1619;Les Paccots;FR
1623;Semsales;FR
1624;Progens;FR
1625;Maules;FR
1626;Rueyres-Treyfayes;FR
1627;Vaulruz;FR
1628;Vuadens;FR
1630;Bulle;FR
1631;Bulle centre de traitement;FR
1632;Riaz;FR
1633;Vuippens;FR
1634;La Roche FR;FR
1635;La Tour-de-Trême;FR
1636;Broc;FR
1637;Charmey (Gruyère);FR
1638;Morlon;FR
1642;Sorens;FR
1643;Gumefens;FR
1644;Avry-devant-Pont;FR
1645;Le Bry;FR
1646;Echarlens;FR
1647;Corbières;FR
1648;Hauteville;FR
1649;Pont-la-Ville;FR
1651;Villarvolard;FR
1652;Botterens;FR
1653;Crésuz;FR
1654;Cerniat FR;FR
1656;Jaun;FR
1657;Abländschen;BE
1658;Rossinière;VD
1659;Rougemont;VD
1660;L'Etivaz;VD
1661;Le Pâquier-Montbarry;FR
1663;Epagny;FR
1665;Estavannens;FR
1666;Grandvillard;FR
1667;Enney;FR
1669;Neirivue;FR
1670;Ursy;FR
1673;Ecublens FR;FR
1674;Vuarmarens;FR
1675;Mossel;FR
1676;Chavannes-les-Forts;FR
1677;Prez-vers-Siviriez;FR
1678;Siviriez;FR
1679;Villaraboud;FR
1680;Romont FR;FR
1681;Hennens;FR
1682;Cerniaz VD;VD
1683;Brenles;VD
1684;Mézières FR;FR
1685;Villariaz;FR
1686;La Neirigue;FR
1687;La Magne;FR
1688;Sommentier;FR
1689;Le Châtelard-près-Romont;FR
1690;Lussy FR;FR
1691;Villarimboud;FR
1692;Massonnens;FR
1694;Orsonnens;FR
1695;Villarlod;FR
1696;Vuisternens-en-Ogoz;FR
1697;Les Ecasseys;FR
1699;Porsel;FR
1700;Fribourg;FR
1701;Fribourg;FR
1708;Fribourg;FR
1712;Tafers;FR
1713;St. Antoni;FR
1714;Heitenried;FR
1715;Alterswil FR;FR
1716;Oberschrot;FR
1717;St. Ursen;FR
1718;Rechthalten;FR
1719;Brünisried;FR
1720;Corminboeuf;FR
1721;Misery;FR
1722;Bourguillon;FR
1723;Pierrafortscha;FR
1724;Montévraz;FR
1725;Posieux;FR
1726;Farvagny-le-Petit;FR
1727;Magnedens;FR
1728;Rossens FR;FR
1730;Ecuvillens;FR
1731;Ependes FR;FR
1732;Arconciel;FR
1733;Treyvaux;FR
1734;Tentlingen;FR
1735;Giffers;FR
1736;St. Silvester;FR
1737;Plasselb;FR
1738;Sangernboden;BE
1740;Neyruz FR;FR
1741;Cottens FR;FR
1742;Autigny;FR
1744;Chénens;FR
1745;Lentigny;FR
1746;Prez-vers-Noréaz;FR
1747;Corserey;FR
1748;Torny-le-Grand;FR
1749;Middes;FR
1752;Villars-sur-Glâne;FR
1753;Matran;FR
1754;Avry-sur-Matran;FR
1756;Lovens;FR
1757;Noréaz;FR
1762;Givisiez;FR
1763;Granges-Paccot;FR
1772;Ponthaux;FR
1773;Chandon;FR
1774;Cousset;FR
1775;Grandsivaz;FR
1776;Montagny-la-Ville;FR
1782;La Corbaz;FR
1783;Pensier;FR
1784;Courtepin;FR
1785;Cressier FR;FR
1786;Sugiez;FR
1787;Môtier (Vully);FR
1788;Praz (Vully);FR
1789;Lugnorre;FR
1791;Courtaman;FR
1792;Cordast;FR
1793;Jeuss;FR
1794;Salvenach;FR
1795;Courlevon;FR
1796;Courgevaux;FR
1797;Münchenwiler;BE
1800;Vevey;VD
1801;Le Mont-Pèlerin;VD
1802;Corseaux;VD
1803;Chardonne;VD
1804;Corsier-sur-Vevey;VD
1805;Jongny;VD
1806;St-Légier-La Chiésaz;VD
1807;Blonay;VD
1808;Les Monts-de-Corsier;VD
1809;Fenil-sur-Corsier;VD
1811;Vevey Services spéciaux;VD
1814;La Tour-de-Peilz;VD
1815;Clarens;VD
1816;Chailly-Montreux;VD
1817;Brent;VD
1818;Montreux Redoute;VD
1820;Territet;VD
1822;Chernex;VD
1823;Glion;VD
1824;Caux;VD
1832;Chamby;VD
1833;Les Avants;VD
1844;Villeneuve VD;VD
1845;Noville;VD
1846;Chessel;VD
1847;Rennaz;VD
1852;Roche VD;VD
1853;Yvorne;VD
1854;Leysin;VD
1856;Corbeyrier;VD
1860;Aigle;VD
1862;La Comballaz;VD
1863;Le Sépey;VD
1864;Vers-l'Eglise;VD
1865;Les Diablerets;VD
1866;La Forclaz VD;VD
1867;Panex;VD
1868;Collombey;VS
1869;Massongex;VS
1870;Monthey;VS
1871;Les Giettes;VS
1872;Troistorrents;VS
1873;Val-d'Illiez;VS
1874;Champéry;VS
1875;Morgins;VS
1880;Frenières-sur-Bex;VD
1882;Gryon;VD
1884;Villars-sur-Ollon;VD
1885;Chesières;VD
1890;St-Maurice;VS
1891;Vérossaz;VS
1892;Lavey-Village;VD
1893;Muraz (Collombey);VS
1895;Vionnaz;VS
1896;Miex;VS
1897;Bouveret;VS
1898;St-Gingolph;VS
1899;Torgon;VS
1902;Evionnaz;VS
1903;Collonges;VS
1904;Vernayaz;VS
1905;Dorénaz;VS
1906;Charrat;VS
1907;Saxon;VS
1908;Riddes;VS
1911;Mayens-de-Chamoson;VS
1912;Dugny (Leytron);VS
1913;Saillon;VS
1914;Auddes-sur-Riddes;VS
1918;La Tzoumaz;VS
1919;Martigny Mutuel;VS
1920;Martigny;VS
1921;Martigny-Croix;VS
1922;Salvan;VS
1923;Le Trétien;VS
1925;Le Châtelard VS;VS
1926;Fully;VS
1927;Chemin;VS
1928;Ravoire;VS
1929;Trient;VS
1932;Bovernier;VS
1933;Chamoille (Sembrancher);VS
1934;Le Châble VS;VS
1936;Verbier;VS
1937;Orsières;VS
1938;Champex-Lac;VS
1941;Cries (Vollèges);VS
1942;Levron;VS
1943;Praz-de-Fort;VS
1944;La Fouly VS;VS
1945;Fornex (Liddes);VS
1946;Bourg-St-Pierre;VS
1947;Versegères;VS
1948;Sarreyer;VS
1950;Sion;VS
1951;Sion;VS
1955;Grugnay (Chamoson);VS
1957;Ardon;VS
1958;St-Léonard;VS
1961;Vernamiège;VS
1962;Pont-de-la-Morge (Sion);VS
1963;Vétroz;VS
1964;Conthey;VS
1965;Drône (Savièse);VS
1966;Villa (Ayent);VS
1967;Bramois;VS
1968;Mase;VS
1969;Eison (St-Martin);VS
1971;Grimisuat;VS
1972;Anzère;VS
1973;Nax;VS
1974;Arbaz;VS
1975;St-Séverin;VS
1976;Aven;VS
1977;Icogne;VS
1978;Lens;VS
1981;Vex;VS
1982;Euseigne;VS
1983;Lanna;VS
1984;Les Haudères;VS
1985;Villa (Evolène);VS
1986;Arolla;VS
1987;Hérémence;VS
1988;Les Collons;VS
1991;Salins;VS
1992;Les Agettes;VS
1993;Clèbes (Nendaz);VS
1994;Aproz (Nendaz);VS
1996;Fey (Nendaz);VS
1997;Sornard (Nendaz);VS
2000;Neuchâtel;NE
2001;Neuchâtel 1;NE
2002;Neuchâtel 2;NE
2010;Neuchâtel OFS;NE
2012;Auvernier;NE
2013;Colombier NE;NE
2014;Bôle;NE
2015;Areuse;NE
2016;Cortaillod;NE
2017;Boudry;NE
2019;Rochefort;NE
2022;Bevaix;NE
2023;Gorgier;NE
2024;St-Aubin-Sauges;NE
2025;Chez-le-Bart;NE
2027;Montalchez;NE
2028;Vaumarcus;NE
2034;Peseux;NE
2035;Corcelles NE;NE
2036;Cormondrèche;NE
2037;Montezillon;NE
2042;Valangin;NE
2043;Boudevilliers;NE
2046;Fontaines NE;NE
2052;La Vue-des-Alpes;NE
2053;Cernier;NE
2054;Chézard-St-Martin;NE
2056;Dombresson;NE
2057;Villiers;NE
2058;Le Pâquier NE;NE
2063;Engollon;NE
2065;Savagnier;NE
2067;Chaumont;NE
2068;Hauterive NE;NE
2072;St-Blaise;NE
2073;Enges;NE
2074;Marin-Epagnier;NE
2075;Wavre;NE
2087;Cornaux NE;NE
2088;Cressier NE;NE
2103;Noiraigue;NE
2105;Travers;NE
2108;Couvet;NE
2112;Môtiers NE;NE
2113;Boveresse;NE
2114;Fleurier;NE
2115;Buttes;NE
2116;Mont-de-Buttes;NE
2117;La Côte-aux-Fées;NE
2123;St-Sulpice NE;NE
2124;Les Sagnettes;NE
2126;Les Verrières;NE
2127;Les Bayards;NE
2149;Fretereules;NE
2206;Les Geneveys-sur-Coffrane;NE
2207;Coffrane;NE
2208;Les Hauts-Geneveys;NE
2300;La Chaux-de-Fonds;NE
2301;La Chaux-de-Fonds;NE
2303;La Chaux-de-Fonds;NE
2304;La Chaux-de-Fonds;NE
2314;La Sagne NE;NE
2316;Les Ponts-de-Martel;NE
2318;Brot-Plamboz;NE
2322;Le Crêt-du-Locle;NE
2325;Les Planchettes;NE
2333;La Ferrière;BE
2336;Les Bois;JU
2338;Les Emibois;JU
2340;Le Noirmont;JU
2345;Le Cerneux-Veusil;BE
2350;Saignelégier;JU
2353;Les Pommerats;JU
2354;Goumois;JU
2360;Le Bémont JU;JU
2362;Montfavergier;JU
2363;Les Enfers;JU
2364;St-Brais;JU
2400;Le Prévoux;NE
2405;La Chaux-du-Milieu;NE
2406;Les Taillères;NE
2414;Le Cerneux-Péquignot;NE
2416;Les Brenets;NE
2500;Biel/Bienne;BE
2501;Biel/Bienne;BE
2502;Biel/Bienne;BE
2503;Biel/Bienne;BE
2504;Biel/Bienne;BE
2505;Biel/Bienne;BE
2512;Tüscherz-Alfermée;BE
2513;Twann;BE
2514;Ligerz;BE
2515;Prêles;BE
2516;Lamboing;BE
2517;Diesse;BE
2518;Nods;BE
2520;La Neuveville;BE
2523;Lignières;NE
2525;Le Landeron;NE
2532;Macolin;BE
2533;Evilard;BE
2534;Les Prés-d'Orvin;BE
2535;Frinvillier;BE
2536;Plagne;BE
2537;Vauffelin;BE
2538;Romont BE;BE
2540;Grenchen;SO
2542;Pieterlen;BE
2543;Lengnau BE;BE
2544;Bettlach;SO
2545;Selzach;SO
2552;Orpund;BE
2553;Safnern;BE
2554;Meinisberg;BE
2555;Brügg BE;BE
2556;Scheuren;BE
2557;Studen BE;BE
2558;Aegerten;BE
2560;Nidau;BE
2562;Port;BE
2563;Ipsach;BE
2564;Bellmund;BE
2565;Jens;BE
2572;Mörigen;BE
2575;Hagneck;BE
2576;Lüscherz;BE
2577;Siselen BE;BE
2603;Péry;BE
2604;La Heutte;BE
2605;Sonceboz-Sombeval;BE
2606;Corgémont;BE
2607;Cortébert;BE
2608;Courtelary;BE
2610;St-Imier;BE
2612;Cormoret;BE
2613;Villeret;BE
2615;Montagne-de-Sonvilier;BE
2616;Renan BE;BE
2710;Tavannes;BE
2712;Le Fuet;BE
2713;Bellelay;BE
2714;Les Genevez JU;JU
2715;Monible;BE
2716;Sornetan;BE
2717;Rebévelier;BE
2718;Lajoux JU;JU
2720;La Tanne;BE
2722;Les Reussilles;BE
2723;Mont-Tramelan;BE
2732;Saicourt;BE
2733;Pontenet;BE
2735;Malleray-Bévilard;BE
2736;Sorvilier;BE
2738;Court;BE
2740;Moutier;BE
2742;Perrefitte;BE
2743;Eschert;BE
2744;Belprahon;BE
2745;Grandval;BE
2746;Crémines;BE
2747;Corcelles BE;BE
2748;Les Ecorcheresses;BE
2762;Roches BE;BE
2800;Delémont;JU
2802;Develier;JU
2803;Bourrignon;JU
2805;Soyhières;JU
2806;Mettembert;JU
2807;Pleigne;JU
2812;Movelier;JU
2813;Ederswiler;JU
2814;Roggenburg;BL
2822;Courroux;JU
2823;Courcelon;JU
2824;Vicques;JU
2825;Courchapoix;JU
2826;Corban;JU
2827;Schelten;BE
2828;Montsevelier;JU
2829;Vermes;JU
2830;Courrendlin;JU
2832;Rebeuvelier;JU
2842;Rossemaison;JU
2843;Châtillon JU;JU
2852;Courtételle;JU
2853;Courfaivre;JU
2854;Bassecourt;JU
2855;Glovelier;JU
2856;Boécourt;JU
2857;Montavon;JU
2863;Undervelier;JU
2864;Soulce;JU
2873;Saulcy;JU
2882;St-Ursanne;JU
2883;Montmelon;JU
2884;Montenol;JU
2885;Epauvillers;JU
2886;Epiquerez;JU
2887;Soubey;JU
2888;Seleute;JU
2889;Ocourt;JU
2900;Porrentruy;JU
2902;Fontenais;JU
2903;Villars-sur-Fontenais;JU
2904;Bressaucourt;JU
2905;Courtedoux;JU
2906;Chevenez;JU
2907;Rocourt;JU
2908;Grandfontaine;JU
2912;Roche-d'Or;JU
2914;Damvant;JU
2915;Bure;JU
2916;Fahy;JU
2922;Courchavon;JU
2923;Courtemaîche;JU
2924;Montignez;JU
2925;Buix;JU
2926;Boncourt;JU
2932;Coeuve;JU
2933;Lugnez;JU
2935;Beurnevésin;JU
2942;Alle;JU
2943;Vendlincourt;JU
2944;Bonfol;JU
2946;Miécourt;JU
2947;Charmoille;JU
2950;Courtemautruy;JU
2952;Cornol;JU
2953;Fregiécourt;JU
2954;Asuel;JU
3000;Bern 60 UPD;BE
3001;Bern;BE
3002;Bern PostFinance;BE
3003;Bern;BE
3004;Bern;BE
3005;Bern;BE
3006;Bern;BE
3007;Bern;BE
3008;Bern;BE
3010;Bern;BE
3011;Bern;BE
3012;Bern;BE
3013;Bern;BE
3014;Bern;BE
3015;Bern;BE
3018;Bern;BE
3019;Bern;BE
3020;Bern;BE
3024;Bern;BE
3027;Bern;BE
3029;Bern;BE
3030;Bern;BE
3032;Hinterkappelen;BE
3033;Wohlen b. Bern;BE
3034;Murzelen;BE
3035;Frieswil;BE
3036;Detligen;BE
3037;Herrenschwanden;BE
3038;Kirchlindach;BE
3039;Bern PF Operations Center;BE
3040;Bern Verarb.zentr.;BE
3041;Bern UBS;BE
3042;Ortschwaben;BE
3043;Uettligen;BE
3044;Innerberg;BE
3045;Meikirch;BE
3046;Wahlendorf;BE
3047;Bremgarten b. Bern;BE
3048;Worblaufen;BE
3049;Säriswil;BE
3050;Bern Swisscom;BE
3052;Zollikofen;BE
3053;Lätti;BE
3054;Schüpfen;BE
3063;Ittigen;BE
3065;Bolligen;BE
3066;Stettlen;BE
3067;Boll;BE
3068;Utzigen;BE
3071;Ostermundigen KATA;BE
3072;Ostermundigen;BE
3073;Gümligen;BE
3074;Muri b. Bern;BE
3075;Rüfenacht BE;BE
3076;Worb;BE
3077;Enggistein;BE
3078;Richigen;BE
3082;Schlosswil;BE
3083;Trimstein;BE
3084;Wabern;BE
3085;Wabern Weihnachten;BE
3086;Zimmerwald;BE
3087;Niedermuhlern;BE
3088;Oberbütschel;BE
3089;Hinterfultigen;BE
3095;Spiegel b. Bern;BE
3096;Oberbalm;BE
3097;Liebefeld;BE
3098;Schliern b. Köniz;BE
3099;Rüti b. Riggisberg;BE
3110;Münsingen;BE
3111;Tägertschi;BE
3112;Allmendingen b. Bern;BE
3113;Rubigen;BE
3114;Wichtrach;BE
3115;Gerzensee;BE
3116;Kirchdorf BE;BE
3122;Kehrsatz;BE
3123;Belp;BE
3124;Belpberg;BE
3125;Toffen;BE
3126;Gelterfingen;BE
3127;Lohnstorf;BE
3128;Rümligen;BE
3132;Riggisberg;BE
3144;Gasel;BE
3145;Niederscherli;BE
3147;Mittelhäusern;BE
3148;Lanzenhäusern;BE
3150;Schwarzenburg;BE
3152;Mamishaus;BE
3153;Rüschegg Gambach;BE
3154;Rüschegg Heubach;BE
3155;Helgisried-Rohrbach;BE
3156;Riffenmatt;BE
3157;Milken;BE
3158;Guggisberg;BE
3159;Riedstätt;BE
3172;Niederwangen b. Bern;BE
3173;Oberwangen b. Bern;BE
3174;Thörishaus;BE
3175;Flamatt;FR
3176;Neuenegg;BE
3177;Laupen BE;BE
3178;Bösingen;FR
3179;Kriechenwil;BE
3182;Ueberstorf;FR
3183;Albligen;BE
3184;Wünnewil;FR
3185;Schmitten FR;FR
3186;Düdingen;FR
3202;Frauenkappelen;BE
3203;Mühleberg;BE
3204;Rosshäusern;BE
3205;Gümmenen;BE
3206;Rizenbach;BE
3207;Wileroltigen;BE
3208;Gurbrü;BE
3210;Kerzers;FR
3212;Kleingurmels;FR
3213;Kleinbösingen;FR
3214;Ulmiz;FR
3215;Lurtigen;FR
3216;Ried b. Kerzers;FR
3225;Müntschemier;BE
3226;Treiten;BE
3232;Ins;BE
3233;Tschugg;BE
3234;Vinelz;BE
3235;Erlach;BE
3236;Gampelen;BE
3237;Brüttelen;BE
3238;Gals;BE
3250;Lyss;BE
3251;Ruppoldsried;BE
3252;Worben;BE
3253;Schnottwil;SO
3254;Balm b. Messen;SO
3255;Rapperswil BE;BE
3256;Dieterswil;BE
3257;Grossaffoltern;BE
3262;Suberg;BE
3263;Büetigen;BE
3264;Diessbach b. Büren;BE
3266;Wiler b. Seedorf;BE
3267;Seedorf BE;BE
3268;Lobsigen;BE
3270;Aarberg;BE
3271;Radelfingen b. Aarberg;BE
3272;Walperswil;BE
3273;Kappelen;BE
3274;Hermrigen;BE
3280;Meyriez;FR
3282;Bargen BE;BE
3283;Kallnach;BE
3284;Fräschels;FR
3285;Galmiz;FR
3286;Muntelier;FR
3292;Busswil BE;BE
3293;Dotzigen;BE
3294;Büren an der Aare;BE
3295;Rüti b. Büren;BE
3296;Arch;BE
3297;Leuzigen;BE
3298;Oberwil b. Büren;BE
3302;Moosseedorf;BE
3303;Münchringen;BE
3305;Scheunen;BE
3306;Etzelkofen;BE
3307;Brunnenthal;SO
3308;Grafenried;BE
3309;Kernenried;BE
3312;Fraubrunnen;BE
3313;Büren zum Hof;BE
3314;Schalunen;BE
3315;Bätterkinden;BE
3317;Limpach;BE
3321;Schönbühl Einkaufszentrum;BE
3322;Mattstetten;BE
